Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Paperless Billing,Monthly Charges,Total Charges,Churn Label,Churn Value,Churn Score,CLTV,Contract_One year,Contract_Two year,Payment Method_Credit card (automatic),Payment Method_Electronic check,Payment Method_Mailed check,Internet Service_Fiber optic,Internet Service_No,Multiple Lines_No phone service,Multiple Lines_Yes
1,0,0,0,2,1,1.0,1.0,0.0,0.0,0.0,0.0,1,53.85,108.15,Yes,1,86,3239,False,False,False,False,True,False,False,False,False
0,0,0,1,2,1,0.0,0.0,0.0,0.0,0.0,0.0,1,70.7,151.65,Yes,1,67,2701,False,False,False,True,False,True,False,False,False
0,0,0,1,8,1,0.0,0.0,1.0,0.0,1.0,1.0,1,99.65,820.5,Yes,1,86,5372,False,False,False,True,False,True,False,False,True
0,0,1,1,28,1,0.0,0.0,1.0,1.0,1.0,1.0,1,104.8,3046.05,Yes,1,84,5003,False,False,False,True,False,True,False,False,True
1,0,0,1,49,1,0.0,1.0,1.0,0.0,1.0,1.0,1,103.7,5036.3,Yes,1,89,5340,False,False,False,False,False,True,False,False,True
0,0,1,0,10,1,0.0,0.0,1.0,1.0,0.0,0.0,0,55.2,528.35,Yes,1,78,5925,False,False,True,False,False,False,False,False,False
1,1,0,0,1,0,0.0,0.0,1.0,0.0,0.0,1.0,1,39.65,39.65,Yes,1,100,5433,False,False,False,True,False,False,False,True,False
1,0,0,0,1,1,,,,,,,0,20.15,20.15,Yes,1,92,4832,False,False,False,False,True,False,True,False,False
1,0,1,1,47,1,0.0,1.0,0.0,0.0,1.0,1.0,1,99.35,4749.15,Yes,1,77,5789,False,False,False,True,False,True,False,False,True
1,0,1,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0,30.2,30.2,Yes,1,97,2915,False,False,False,True,False,False,False,True,False
0,0,0,0,17,1,0.0,0.0,0.0,0.0,1.0,1.0,1,64.7,1093.1,Yes,1,74,3022,False,False,False,False,True,False,False,False,False
1,0,0,1,5,1,0.0,0.0,0.0,0.0,0.0,0.0,1,69.7,316.9,Yes,1,66,2454,False,False,False,True,False,True,False,False,False
1,0,0,1,34,1,0.0,1.0,1.0,0.0,1.0,1.0,1,106.35,3549.25,Yes,1,65,2941,False,False,False,True,False,True,False,False,True
0,0,0,1,11,1,0.0,0.0,1.0,0.0,1.0,1.0,1,97.85,1105.4,Yes,1,70,5674,False,False,False,False,False,True,False,False,True
0,0,0,1,2,1,0.0,0.0,0.0,0.0,1.0,0.0,1,80.65,144.15,Yes,1,90,5586,False,False,False,True,False,True,False,False,False
0,0,0,1,15,1,1.0,1.0,0.0,0.0,1.0,1.0,1,99.1,1426.4,Yes,1,82,2966,False,False,True,False,False,True,False,False,False
0,1,1,1,8,1,0.0,1.0,0.0,0.0,0.0,0.0,1,80.65,633.3,Yes,1,69,5302,False,False,True,False,False,True,False,False,True
1,1,0,1,18,1,0.0,0.0,0.0,0.0,1.0,1.0,1,95.45,1752.55,Yes,1,81,3179,False,False,False,True,False,True,False,False,True
0,0,0,1,9,1,0.0,0.0,0.0,0.0,1.0,1.0,0,94.4,857.25,Yes,1,96,5571,False,False,False,True,False,True,False,False,True
0,0,0,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,1,79.35,79.35,Yes,1,87,2483,False,False,False,True,False,True,False,False,False
0,0,1,1,7,1,0.0,0.0,1.0,0.0,0.0,0.0,1,75.15,496.9,Yes,1,70,3457,False,False,False,False,False,True,False,False,False
0,0,0,1,12,1,1.0,0.0,0.0,0.0,0.0,0.0,1,78.95,927.35,Yes,1,86,5806,False,False,False,True,False,True,False,False,True
1,0,0,0,5,1,,,,,,,0,21.05,113.85,Yes,1,66,2604,False,False,False,False,True,False,True,False,False
0,1,1,1,25,1,0.0,1.0,1.0,0.0,1.0,1.0,1,98.5,2514.5,Yes,1,88,5337,False,False,False,True,False,True,False,False,False
1,0,1,0,68,1,0.0,1.0,1.0,1.0,1.0,1.0,1,110.0,7611.85,Yes,1,86,5034,False,True,False,False,False,True,False,False,True
1,0,1,1,55,1,1.0,1.0,0.0,0.0,1.0,0.0,1,96.75,5238.9,Yes,1,75,5154,False,False,False,True,False,True,False,False,True
0,1,1,1,37,1,0.0,0.0,0.0,0.0,0.0,0.0,1,76.5,2868.15,Yes,1,67,2793,False,False,False,True,False,True,False,False,True
0,0,1,1,10,1,1.0,0.0,0.0,0.0,1.0,1.0,1,100.25,1064.65,Yes,1,87,5998,False,False,False,True,False,True,False,False,True
1,0,0,1,3,1,0.0,0.0,0.0,0.0,0.0,0.0,1,74.4,229.55,Yes,1,76,4415,False,False,False,True,False,True,False,False,True
